product,entry_open,sl,tp,rr,nc,R,sl_over_R,sl_usd,tp_net_usd,n,tp_n,sl_n,flat_n,wr_cond,flat_share,ev_trade,wr_h1,wr_h2,combine_pass,p10,p25,p50,p75,p90,mean,p_ge1_payout_1y,xfa_p_ge1_payout,xfa_avg_days,xfa_mean_payout,skipped
M2K,510,230,58,0.25,19,307.00000000000273,0.7491856677524363,2208.18,527.82,515.0,385.0,72.0,58.0,0.8424507658643327,0.11262135922330097,16.2957281553517,0.8603603603603603,0.825531914893617,0.53283,3453.156900000519,6566.640468750452,10960.142132813171,16241.726285157081,21755.754077344875,11954.566955942764,1.0,0.8819,12.9314,1447.697362765625,
M2K,510,230,41,0.18,19,307.00000000000273,0.7491856677524363,2208.18,366.32,515.0,421.0,56.0,38.0,0.8825995807127882,0.07378640776699029,9.1199999999928,0.8888888888888888,0.8765432098765432,0.54636,1500.8156999998541,3994.1538749997508,7490.29162499975,11752.119281249616,16110.04566445257,8296.946742116941,1.0,0.9351,13.15296,1207.8001280806143,
M2K,510,307,307,1.0,14,307.00000000000273,0.9999999999999911,2166.08,2131.92,515.0,76.0,74.0,365.0,0.5066666666666667,0.7087378640776699,-11.928543689320223,0.5555555555555556,0.47126436781609193,0.43896,5339.854799999955,9117.155249999967,14589.41399999994,21607.707515624894,29295.793124999942,16231.422879812057,0.9999,0.58786,14.24392,1713.861594607758,
M2K,510,307,206,0.67,14,307.00000000000273,0.9999999999999911,2166.08,1424.92,515.0,158.0,71.0,286.0,0.6899563318777293,0.5553398058252427,-11.751844660194417,0.7171717171717171,0.6692307692307692,0.45815,5289.684749999991,8842.876874999924,14031.40724999992,20405.014874999877,27545.43349687486,15418.900188511228,0.99995,0.64036,14.38488,1666.3398505527746,
M2K,510,307,132,0.43,14,307.00000000000273,0.9999999999999911,2166.08,906.92,515.0,245.0,66.0,204.0,0.7877813504823151,0.39611650485436894,-35.89165048544047,0.8142857142857143,0.7660818713450293,0.45347,2964.943799999839,5768.405999999806,9655.710749999776,14717.272499999732,20283.116076562022,10828.942178383639,1.0,0.72946,13.20174,1255.216338821585,
M2K,510,307,101,0.33,14,307.00000000000273,0.9999999999999911,2166.08,689.92,515.0,295.0,61.0,159.0,0.8286516853932584,0.3087378640776699,-42.03533980582717,0.8580246913580247,0.8041237113402062,0.44799,1554.0839999999816,3868.0031249999593,7225.580249999895,11513.98237499985,16287.223837499761,8231.06651578899,1.0,0.79156,12.7325,1050.8249688567073,
M2K,510,307,77,0.25,14,307.00000000000273,0.9999999999999911,2166.08,521.92,515.0,346.0,53.0,116.0,0.8671679197994987,0.22524271844660193,-1.5168932038899001,0.8870967741935484,0.8497652582159625,0.52911,1869.713999999844,4468.7789999997485,8080.5138749997095,12656.25210937457,17445.171220311917,9046.12211836468,1.0,0.88132,13.40934,1190.258079604034,
M2K,510,307,55,0.18,14,307.00000000000273,0.9999999999999911,2166.08,367.92,515.0,394.0,46.0,75.0,0.8954545454545455,0.14563106796116504,-8.761553398057096,0.9112149532710281,0.8805309734513275,0.51798,530.8254000000098,2574.2508750000147,5470.187625,9075.116162109385,13090.776595312536,6235.083835225686,1.0,0.9302,12.95762,964.4218325749608,
M2K,510,461,461,1.0,9,307.00000000000273,1.5016286644951007,2085.48,2063.52,515.0,26.0,30.0,459.0,0.4642857142857143,0.8912621359223301,-25.46737864077678,0.5238095238095238,0.42857142857142855,0.45672,1019.5389000000084,3270.4458750000204,6713.360999999998,11325.344062499988,16492.26318749997,7913.188201075034,0.9994,0.727,16.93756,1162.3294008309133,
M2K,510,461,309,0.67,9,307.00000000000273,1.5016286644951007,2085.48,1379.52,515.0,76.0,29.0,410.0,0.7238095238095238,0.7961165048543689,-21.841165048542834,0.7954545454545454,0.6721311475409836,0.47876,1098.181800000009,3341.204437500027,6725.511000000017,11222.069062500077,16096.841437500065,7872.491544409023,0.99995,0.7528,16.98004,1146.482921224737,
M2K,510,461,198,0.43,9,307.00000000000273,1.5016286644951007,2085.48,880.02,515.0,166.0,28.0,321.0,0.8556701030927835,0.6233009708737864,-22.347961165046062,0.9058823529411765,0.8165137614678899,0.50327,778.4019000000552,2880.6131250000335,6022.937250000128,10044.039234375177,14363.77151250019,6944.279574899845,0.9999,0.80062,16.16396,1008.2572839770032,
M2K,510,461,152,0.33,9,307.00000000000273,1.5016286644951007,2085.48,673.02,515.0,217.0,25.0,273.0,0.8966942148760331,0.5300970873786408,-31.042135922332857,0.9351851851851852,0.8656716417910447,0.4988,32.78069999995413,1811.1397499998807,4399.0998749998835,7800.970781249865,11519.066953124728,5217.272006224632,1.0,0.84062,15.1843,802.4905542589242,
M2K,510,461,115,0.25,9,307.00000000000273,1.5016286644951007,2085.48,506.52,515.0,265.0,23.0,227.0,0.9201388888888888,0.4407766990291262,-46.43825242718408,0.9541984732824428,0.89171974522293,0.46525,-911.7623249999878,544.7857499999952,2553.697125000015,5141.262375000023,8016.482482031253,3148.710337587011,1.0,0.87956,13.77874,543.681041014634,
