c,sl,tp,rr,nc,sl_usd,tp_net,n,tp_n,sl_n,flat_n,flat_share,ambig_share,wr_cond,ev,ev_slip1,combine_pass,p10,p25,p50,p75,p90,xfa_p_ge1,xfa_days,p50_slip1,p50_optimistic
0.3,143,47,0.33,15,2173.8,676.2,515,383,130,2,0.003883495145631068,0.003883495145631068,0.746588693957115,-49.974757281580665,-68.81941747575543,0.44288,3367.709999999399,6491.221874998928,10814.343749998998,16190.76093749865,21857.541187498307,0.79348,11.0966,9422.662499999278,11327.01468749864
0.35,167,167,1.0,13,2195.96,2146.04,515,242,218,55,0.10679611650485436,0.0,0.5260869565217391,100.62252427184389,80.73126213592155,0.51706,22828.168349999814,30758.02649999976,41688.85949999973,54982.329749999626,68929.82662499978,0.5137,12.02796,35232.13799999979,41232.56849999974
0.35,167,112,0.67,13,2195.96,1431.04,515,300,187,28,0.05436893203883495,0.0,0.6160164271047228,23.455533980577588,5.028349514558172,0.47818,14433.769349999633,20421.0922499996,28560.009374999434,38054.06212499933,48045.30806249914,0.58998,11.2457,26339.87587499949,28220.49506249944
0.35,167,72,0.43,13,2195.96,911.04,515,354,150,11,0.021359223300970873,0.001941747572815534,0.7023809523809523,-28.090097087388116,-45.15417475729103,0.45984,7312.429799999661,11546.34609374947,17321.089499999303,24617.78947265518,31774.455801561326,0.69942,10.92138,14714.797499999393,17715.14549999933
0.35,167,55,0.33,13,2195.96,690.04,515,377,130,8,0.015533980582524271,0.003883495145631068,0.7435897435897436,-64.08621359222708,-80.56970873785815,0.39188,3050.9037000001304,5855.967000000096,9834.113250000095,14848.813687500131,20293.750249804838,0.75174,10.75692,8590.608000000111,10400.422500000097
0.4,191,191,1.0,11,2122.12,2079.88,515,230,204,81,0.15728155339805824,0.003883495145631068,0.5299539170506913,91.65669902912603,74.56932038834934,0.51694,20716.165800000163,28433.589750000123,38589.905250000236,51345.88481250016,64823.82108750041,0.51784,12.10996,36717.56212500011,40627.59975000004
0.4,191,128,0.67,11,2122.12,1386.88,515,296,172,47,0.0912621359223301,0.001941747572815534,0.6324786324786325,65.17126213592991,49.49359223301729,0.51082,16557.648300000386,23232.67650000056,31859.620804688257,42000.3326250007,52497.57110625098,0.61966,12.22234,29954.3866875007,32039.49825000073
0.4,191,82,0.43,11,2122.12,880.88,515,348,144,23,0.04466019417475728,0.003883495145631068,0.7073170731707317,-29.04427184467673,-43.611262135938865,0.43458,5881.2929999997195,9689.847749999555,15031.169999999292,21442.184156248954,28367.47160156138,0.7006,11.03784,13888.685249999215,15764.413499999282
0.4,191,63,0.33,11,2122.12,671.88,515,372,129,14,0.027184466019417475,0.003883495145631068,0.7425149700598802,-65.82485436892017,-79.87922330095901,0.4198,2572.3986750005006,5330.0115000004325,9201.765375000501,14008.190625000758,19159.656475782096,0.7734,10.84166,8183.946375000527,9826.127437500545
0.5,238,238,1.0,9,2159.28,2124.72,515,199,187,129,0.2504854368932039,0.0,0.5155440414507773,30.70834951456314,16.18601941747576,0.47146,14634.181800000111,20886.322500000057,29614.664250000234,39837.74062500009,51241.3760250003,0.48166,11.4102,27942.977250000175,29230.159500000154
