sl_ticks,tp_ticks,rr,max_holding_bars,direction,nc,trades_per_day,wr_used_mid_bracket,wr_bracket_width,pass_rate_15d,blow_rate,avg_days_to_pass,combines_por_ano,costo_esperado_por_combine
50,15,0.3,100,always_short,50,1,0.773,0.0109,0.8287,0.1713,4.77,43.77,59.13
50,15,0.3,66,always_short,50,1,0.7729,0.0109,0.8285,0.1715,4.77,43.75,59.14
40,10,0.25,30,alternate,50,2,0.7926,0.025,0.6736,0.3264,3.89,43.69,72.74
50,15,0.3,45,always_short,50,1,0.7708,0.0109,0.8255,0.1745,4.78,43.55,59.36
50,15,0.3,100,alternate,50,1,0.7673,0.0113,0.8196,0.1804,4.78,43.17,59.78
50,15,0.3,66,alternate,50,1,0.7673,0.0113,0.8195,0.1805,4.78,43.17,59.79
50,15,0.3,130,alternate,50,1,0.7673,0.0113,0.8195,0.1805,4.78,43.17,59.79
40,10,0.25,66,always_long,50,2,0.7903,0.0261,0.6666,0.3334,3.89,43.16,73.5
40,10,0.25,100,always_long,50,2,0.7902,0.0261,0.6666,0.3334,3.89,43.15,73.5
40,10,0.25,130,always_long,50,2,0.7902,0.0261,0.6664,0.3336,3.89,43.14,73.53
40,10,0.25,45,always_long,50,2,0.7902,0.0261,0.6663,0.3337,3.89,43.13,73.55
50,15,0.3,45,alternate,50,1,0.766,0.0112,0.8177,0.1822,4.79,43.06,59.92
40,10,0.25,30,always_long,50,2,0.7894,0.026,0.6641,0.3359,3.89,42.99,73.78
50,15,0.3,30,always_short,50,1,0.7646,0.0109,0.8166,0.1834,4.79,42.98,60.0
50,15,0.3,100,always_long,50,1,0.7617,0.0116,0.811,0.189,4.8,42.62,60.42
50,15,0.3,66,always_long,50,1,0.7617,0.0116,0.811,0.189,4.8,42.62,60.42
50,15,0.3,130,always_long,50,1,0.7616,0.0116,0.8109,0.1891,4.8,42.61,60.43
50,15,0.3,30,alternate,50,1,0.7613,0.0112,0.8106,0.1894,4.8,42.59,60.45
50,15,0.3,45,always_long,50,1,0.7612,0.0116,0.8106,0.1894,4.8,42.59,60.45
50,15,0.3,30,always_long,50,1,0.7579,0.0116,0.8047,0.1953,4.81,42.2,60.89
50,15,0.3,130,always_short,50,2,0.773,0.0109,0.6605,0.3395,4.07,40.94,74.19
50,15,0.3,100,always_short,50,2,0.773,0.0109,0.6605,0.3395,4.07,40.93,74.19
50,15,0.3,66,always_short,50,2,0.7729,0.0109,0.6599,0.3401,4.07,40.89,74.26
50,8,0.16,130,always_short,50,2,0.8619,0.0171,0.7815,0.2185,4.84,40.71,62.7
50,8,0.16,66,always_short,50,2,0.8618,0.0171,0.7811,0.2189,4.84,40.69,62.73
50,8,0.16,100,always_short,50,2,0.8618,0.0171,0.781,0.219,4.84,40.68,62.74
50,8,0.16,45,always_short,50,2,0.8611,0.0171,0.7791,0.2209,4.84,40.55,62.89
50,15,0.3,45,always_short,50,2,0.7708,0.0109,0.6555,0.3445,4.08,40.51,74.75
50,8,0.16,66,alternate,50,2,0.8579,0.0177,0.7699,0.2301,4.86,39.96,63.65
50,8,0.16,100,alternate,50,2,0.8578,0.0178,0.7698,0.2303,4.86,39.95,63.66
50,8,0.16,30,always_short,50,2,0.8578,0.0171,0.7698,0.2303,4.86,39.95,63.66
50,8,0.16,130,alternate,50,2,0.8578,0.0178,0.7698,0.2303,4.86,39.95,63.66
50,8,0.16,45,alternate,50,2,0.8576,0.0177,0.7692,0.2308,4.86,39.92,63.7
50,15,0.3,130,alternate,50,2,0.7673,0.0113,0.6465,0.3535,4.09,39.88,75.79
50,15,0.3,100,alternate,50,2,0.7673,0.0113,0.6466,0.3534,4.09,39.88,75.78
50,15,0.3,66,alternate,50,2,0.7673,0.0113,0.6465,0.3535,4.09,39.88,75.79
50,15,0.3,45,alternate,50,2,0.766,0.0112,0.6441,0.3559,4.09,39.68,76.07
50,15,0.3,130,always_short,40,2,0.773,0.0109,0.6185,0.3815,3.93,39.62,79.22
50,15,0.3,130,always_short,30,2,0.773,0.0109,0.6185,0.3815,3.93,39.62,79.22
50,15,0.3,100,always_short,40,2,0.773,0.0109,0.6184,0.3816,3.93,39.61,79.24
50,15,0.3,100,always_short,30,2,0.773,0.0109,0.6184,0.3816,3.93,39.61,79.24
50,15,0.3,66,always_short,30,2,0.7729,0.0109,0.6176,0.3824,3.93,39.56,79.34
50,15,0.3,66,always_short,40,2,0.7729,0.0109,0.6176,0.3824,3.93,39.56,79.34
50,8,0.16,30,alternate,50,2,0.8553,0.0177,0.763,0.237,4.87,39.52,64.22
50,15,0.3,30,always_short,50,2,0.7646,0.0109,0.6406,0.3594,4.09,39.44,76.49
50,8,0.16,45,always_long,50,2,0.854,0.0184,0.7591,0.2409,4.87,39.28,64.55
50,8,0.16,66,always_long,50,2,0.854,0.0184,0.7591,0.2409,4.87,39.28,64.55
50,8,0.16,100,always_long,50,2,0.8539,0.0184,0.759,0.241,4.87,39.27,64.56
50,8,0.16,130,always_long,50,2,0.8538,0.0184,0.759,0.241,4.87,39.26,64.56
40,15,0.375,130,always_short,50,1,0.73,0.0174,0.7584,0.2416,4.87,39.22,64.61
40,15,0.375,100,always_short,50,1,0.73,0.0174,0.7584,0.2416,4.87,39.22,64.61
40,15,0.375,66,always_short,50,1,0.7299,0.0173,0.7584,0.2416,4.87,39.21,64.61
50,15,0.3,45,always_short,30,2,0.7708,0.0109,0.6125,0.3875,3.94,39.15,80.0
50,15,0.3,45,always_short,40,2,0.7708,0.0109,0.6125,0.3875,3.94,39.15,80.0
40,15,0.375,45,always_short,50,1,0.7291,0.0173,0.757,0.243,4.88,39.13,64.73
50,8,0.16,30,always_long,50,2,0.8529,0.0183,0.7568,0.2432,4.88,39.11,64.75
40,12,0.3,100,always_short,40,2,0.7702,0.021,0.611,0.389,3.94,39.05,80.2
40,12,0.3,100,always_short,50,2,0.7702,0.021,0.611,0.389,3.94,39.05,80.2
40,12,0.3,130,always_short,40,2,0.7702,0.021,0.611,0.389,3.94,39.05,80.2
40,12,0.3,130,always_short,50,2,0.7702,0.021,0.611,0.389,3.94,39.05,80.2
40,12,0.3,66,always_short,40,2,0.77,0.021,0.6104,0.3896,3.94,39.01,80.28
40,12,0.3,66,always_short,50,2,0.77,0.021,0.6104,0.3896,3.94,39.01,80.28
40,12,0.3,45,always_short,40,2,0.7698,0.021,0.6099,0.3901,3.94,38.98,80.34
40,12,0.3,45,always_short,50,2,0.7698,0.021,0.6099,0.3901,3.94,38.98,80.34
50,15,0.3,100,always_long,50,2,0.7617,0.0116,0.632,0.368,4.1,38.85,77.53
50,15,0.3,66,always_long,50,2,0.7617,0.0116,0.6319,0.3681,4.1,38.83,77.55
50,15,0.3,130,always_long,50,2,0.7616,0.0116,0.6318,0.3683,4.1,38.82,77.56
50,15,0.3,30,alternate,50,2,0.7613,0.0112,0.6312,0.3688,4.1,38.77,77.62
50,15,0.3,45,always_long,50,2,0.7612,0.0116,0.6311,0.3689,4.1,38.76,77.64
40,15,0.375,30,always_short,50,1,0.7253,0.0173,0.752,0.248,4.89,38.75,65.16
40,15,0.375,66,alternate,50,1,0.7246,0.0181,0.7508,0.2492,4.89,38.67,65.27
40,15,0.375,130,alternate,50,1,0.7247,0.0182,0.7508,0.2492,4.89,38.67,65.27
40,15,0.375,100,alternate,50,1,0.7247,0.0182,0.7508,0.2492,4.89,38.67,65.27
40,15,0.375,45,alternate,50,1,0.7241,0.0181,0.75,0.25,4.9,38.6,65.33
50,15,0.3,100,alternate,40,2,0.7673,0.0113,0.603,0.397,3.95,38.49,81.26
50,15,0.3,66,alternate,40,2,0.7673,0.0113,0.603,0.397,3.95,38.49,81.26
50,15,0.3,130,alternate,40,2,0.7673,0.0113,0.603,0.397,3.95,38.49,81.26
50,15,0.3,130,alternate,30,2,0.7673,0.0113,0.603,0.397,3.95,38.49,81.26
50,15,0.3,66,alternate,30,2,0.7673,0.0113,0.603,0.397,3.95,38.49,81.26
50,15,0.3,100,alternate,30,2,0.7673,0.0113,0.603,0.397,3.95,38.49,81.26
